province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v,time
四川,资阳市,46.840115833333336,84.03709676666668,16.441671233333334,24.635540233333334,0.897151078,41.692841433333335,286.2545146666667,66.8740139,97356.48036666666,-1.2558661586666666,-2.275675484333333,2013-11-01
四川,达州市,56.4381229,74.4441391,29.964707733333334,17.149570633333333,0.590776251,48.279058166666665,284.3656373333333,65.37222426666666,94587.81656666666,-2.562104112333333,-0.8456007335,2013-11-01
四川,遂宁市,46.6565521,89.57179456666667,18.84817383333333,26.390137366666668,0.9011974536666667,45.9458907,286.25538066666667,65.88854953333333,97740.55116666667,-1.6004644689999998,-2.377126052,2013-11-01
四川,阿坝藏族羌族自治州,8.269033336666666,10.070799090000001,2.4825097876666664,2.4840180166666666,0.17377529816666665,74.1207311,270.1432496666667,50.929455833333336,65912.47426666667,4.028843728666667,-0.4102963056666667,2013-11-01
四川,雅安市,47.885882466666665,61.23854736666667,16.583286266666665,11.248866003333335,0.47818678433333334,60.387294966666666,277.67978466666665,76.65938946666667,80167.74236666667,-0.47033670730000005,-0.41908232286666663,2013-11-01
天津|天津,天津|天津,91.74756666666667,146.63567016666667,49.4970667,57.48807976666667,1.565057993,22.199637436666666,279.309243,35.890790833333334,102119.14976666665,2.9570199003333335,-2.020551409,2013-11-01
安徽|安徽,亳州市,91.3535103,134.16195493333333,41.07124056666667,42.484610233333335,1.3394397046666666,24.48655868666667,283.484751,48.12392006666666,102071.45403333333,0.6283303366666667,-2.0435970075,2013-11-01
安徽|安徽,六安市,84.95600953333333,104.7188295,22.132013566666668,25.3149534,0.7612829933333334,34.070023033333335,284.47978566666666,53.6768882,99943.91813333334,1.0235733793333333,-1.3991508049833332,2013-11-01
安徽|安徽,合肥市,97.77841096666666,132.73600423333335,24.716639400000002,34.125690033333335,1.0170918916666667,29.955218866666666,285.26616233333334,52.5841933,101912.33156666667,0.6989493122666666,-1.6772888552666667,2013-11-01
安徽|安徽,安庆市,73.4828487,106.44327593333333,24.365138366666667,30.46982846666667,0.7725497023333333,31.697171866666668,285.84026400000005,54.32707906666666,100311.26836666667,-0.3531456134666666,-2.682284858,2013-11-01
安徽|安徽,宣城市,73.36261979999999,109.45304540000001,22.422322766666664,32.6697231,0.9858942763333334,43.1670892,285.2591676666667,56.9626254,99870.4441,0.36305268300000004,-0.4367369213333333,2013-11-01
安徽|安徽,宿州市,85.0146009,136.70575033333336,45.89681826666666,50.284364266666664,1.41900533,27.9055523,283.1648193333333,49.3620685,101995.7825,0.8194214895333334,-1.8258521806666665,2013-11-01
安徽|安徽,巢湖市,93.39358696666666,133.52395083333332,25.703783400000003,31.648167466666667,1.1907895609999999,39.84294980000001,285.873184,53.67427863333333,102007.51476666666,0.6193945079999998,-1.6295991174666669,2013-11-01
安徽|安徽,池州市,65.43802016666667,92.5350178,23.637377333333333,26.845059266666667,0.7143738953333333,38.207412999999995,285.8137536666666,56.037468600000004,100147.46196666667,-0.8692073306666667,-1.3904996981666666,2013-11-01
安徽|安徽,淮北市,82.38397636666667,135.8636306,51.40462926666667,52.11256516666666,1.5506820623333333,23.60558381,283.27405600000003,48.9049984,102057.29206666668,0.6651757060666666,-1.9302736240000002,2013-11-01
安徽|安徽,淮南市,102.24403896666666,141.24127863333334,34.53615256666667,40.31478036666667,1.0980121206666666,19.98582344,284.457128,50.353856666666665,102096.5448,0.641229712,-1.906109438,2013-11-01
安徽|安徽,滁州市,91.0221222,143.04072583333334,28.2526752,39.30138266666667,0.9982782116666667,34.86723593333333,284.66343,53.10232776666667,101795.83203333334,0.9061686929,-1.4831537308666667,2013-11-01
安徽|安徽,芜湖市,90.670634,133.19265596666665,27.54526213333333,36.1701417,1.2633063813333334,41.88196706666667,286.09345233333335,54.28656073333333,101994.75573333332,0.4259767311666666,-1.0731478033333335,2013-11-01
安徽|安徽,蚌埠市,90.31418839999999,134.6172497,34.806873966666664,43.1299474,1.2049403406666668,27.743133483333335,284.05365700000004,50.372890399999996,102076.4727,0.8051054546666667,-1.7263718123333334,2013-11-01
安徽|安徽,铜陵市,90.1237229,121.03914616666667,27.5004669,31.894660833333333,1.1004210443333333,40.9122769,286.314609,55.573848766666664,101918.3251,0.281976846,-1.330658843,2013-11-01
安徽|安徽,阜阳市,104.26580466666668,133.5659529,37.13981723333333,34.130273933333335,1.0770432939999999,23.401483550000002,284.0018513333333,48.1952557,102063.9448,0.5737611058666666,-2.1439598380000002,2013-11-01
安徽|安徽,马鞍山市,98.47499653333333,163.52252356666668,34.692000533333335,51.46478453333334,1.63007886,35.2138313,285.8438453333334,53.45822896666667,102271.1915,0.5148390472000001,-1.244896727,2013-11-01
安徽|安徽,黄山市,63.74000816666667,80.9373206,21.552263266666667,20.4169199,0.6240236616666667,47.555388,284.8514696666667,58.541373799999995,97920.64366666667,-0.9880440476333334,-1.308471908,2013-11-01
寧夏回族自治區|宁夏回族自治区,中卫市,26.069940166666665,35.45813145333333,17.219454283333334,10.523711093333333,0.3860540306666667,51.261912833333334,274.7159326666667,38.67800986666667,84067.46813333333,2.9406281953333333,-1.5801009043333332,2013-11-01
寧夏回族自治區|宁夏回族自治区,吴忠市,29.894282566666668,48.8191707,31.866866066666667,17.729519033333336,0.5613793213333333,47.46106356666667,274.66642466666667,39.199787300000004,85504.32286666667,3.3357736676666665,-1.3540776519,2013-11-01
寧夏回族自治區|宁夏回族自治区,固原市,34.11571525666667,41.50106696666667,14.503093563333332,9.814418146666666,0.405589729,54.1770432,273.61568400000004,48.84066573333333,81519.99316666667,2.068085758,-1.7824807316666667,2013-11-01
寧夏回族自治區|宁夏回族自治区,石嘴山市,40.71648106666667,92.46938486666666,107.23894156666667,44.88526343333333,1.0548797793333333,37.11198243333333,274.45176933333335,35.682082466666664,87391.5302,3.3926669476666667,-2.0233489833,2013-11-01
寧夏回族自治區|宁夏回族自治区,银川市,46.197728,102.0530523,84.78520293333332,42.94025706666666,1.1319497916666668,37.42086153333333,275.386804,35.51134593333334,87651.19143333333,2.791962900666667,-1.2196798843,2013-11-01
山東|山东,东营市,73.29218393333333,119.13261476666666,71.32809590000001,51.533896899999995,1.2100375786666668,34.19555456666667,280.8897933333334,47.92902756666667,102193.5762,4.131846383333333,-1.2576203794666667,2013-11-01
山東|山东,临沂市,94.91484383333334,164.91809063333332,70.13389826666666,61.42595286666666,1.759558675,26.152320999999997,280.96579533333335,49.069594566666666,100447.1772,1.877951867,-1.8913526812,2013-11-01
山東|山东,威海市,40.4921073,66.48402703333333,30.615312833333334,30.4441496,0.8465039223333334,50.33232123333333,281.3159273333333,61.81976280000001,101401.45166666666,4.133605325666667,-1.4861138283333333,2013-11-01
山東|山东,德州市,95.5195848,155.1682915,55.918429999999994,57.91165316666666,1.7051588166666667,23.50933208,280.3536236666667,40.11474173333333,102154.51986666667,2.232717051333333,-0.6823580492,2013-11-01
山東|山东,日照市,74.99850106666666,137.69113356666668,55.07225056666666,54.79569323333333,1.3978953633333333,29.43233186666667,280.86350366666665,49.11199146666667,100512.55116666667,2.558565029,-2.118683838,2013-11-01
山東|山东,枣庄市,104.9245071,172.02537320000002,90.06113326666667,61.084271433333335,1.5589633566666667,23.584705463333332,281.5430213333333,47.56126363333333,101128.09283333334,0.7300003710999999,-1.6744296343333334,2013-11-01
山東|山东,泰安市,100.8945608,164.326613,79.34146543333333,63.69294586666667,1.7750113666666667,21.548099116666666,280.335781,45.4989243,100414.07476666666,1.2158887566333334,-1.6034863366666665,2013-11-01
山東|山东,济南市,89.19670943333334,152.0998888,71.9776516,60.833463566666666,1.7801702433333333,23.45052595,280.13693566666666,42.57437053333333,100952.3317,2.3432138300000003,-0.24970061140000005,2013-11-01
山東|山东,济宁市,110.95179176666667,176.31386816666665,78.43881,58.552858199999996,1.6181599366666668,22.279036666666666,281.5145913333333,45.1885099,101848.22413333334,1.0390035119666665,-1.5053322766666668,2013-11-01
山東|山东,淄博市,93.5951501,152.80704533333335,114.20654463333334,67.11928226666666,1.97790711,23.1256166,279.57627933333333,45.11100316666667,99568.17133333333,3.561786484666667,-0.6720762398000001,2013-11-01
山東|山东,滨州,80.0613517,124.78666236666666,64.14607183333334,54.4210091,1.531900231,29.213303933333336,280.27522866666664,43.81664103333333,102200.0495,3.6720007106666666,-1.115875993,2013-11-01
山東|山东,潍坊市,79.75815636666667,141.05913766666666,80.79879856666666,58.35312783333333,1.4437938773333334,29.541277533333336,280.51007366666664,47.69768766666667,101106.57523333334,4.313040294233334,-1.2927841535,2013-11-01
山東|山东,烟台市,49.73333493333334,82.29708423333334,34.0010608,37.33897473333333,0.9002476526666666,42.297135866666665,281.01817066666666,59.721107266666664,100949.3725,3.8083032576666667,-1.384270711,2013-11-01
山東|山东,聊城市,109.78715823333333,190.09874033333332,63.44104203333333,61.30797726666666,1.9136443333333333,21.445685833333336,281.05887866666666,38.91272953333334,101980.3054,1.4218467500999998,-0.8721265063333334,2013-11-01
山東|山东,莱芜市,90.49872233333333,144.55239306666667,102.0246497,67.06448313333334,1.8521597566666665,22.48556645,279.070895,47.030658833333334,98519.22099999999,1.7779389557666667,-1.8426146996666666,2013-11-01
山東|山东,菏泽市,115.11894466666666,180.8433017,60.055383033333335,52.3039052,1.6486119399999999,24.282073649999997,281.87572766666665,42.998807766666665,101881.00266666667,0.946882723,-1.6287367769999999,2013-11-01
山東|山东,青岛市,59.74082936666667,114.15772583333334,50.634918500000005,44.97062473333334,1.1155660116666666,33.91976496666667,281.1572146666667,53.6177303,101612.31446666666,4.014188133333333,-1.6833149756666665,2013-11-01
山西,临汾市,50.69820163333333,76.53290046666667,36.12300213333333,25.098578266666667,1.9600426733333334,34.816128533333334,277.0436453333333,41.197817666666666,90641.3373,2.330637846333333,-2.2690279990000004,2013-11-01
山西,吕梁市,42.511508543333335,65.69071453333333,46.3319495,20.035116916666666,1.4450242456666667,38.84722456666667,274.44947233333335,41.82614353333334,88169.82560000001,3.0998057996666666,-1.858175698,2013-11-01
山西,大同市,35.3574341,66.33408116666666,34.21152166666666,23.42347496,1.5540789966666668,38.42635393333333,271.86025,44.58088816666667,87487.82843333334,5.389103892,-3.25839095284,2013-11-01
山西,太原市,47.48036827666667,86.69866466666667,69.51055423333334,26.790081566666668,1.9649114466666666,33.23134233333334,274.50591633333335,39.5748811,87927.58236666667,4.4281204115,-2.5634597313333334,2013-11-01
山西,忻州市,32.008044606666665,52.54009116666667,31.103809733333332,20.4841409,1.1371426853333333,40.42907986666667,272.38100933333334,44.14938823333333,86453.65933333333,4.408889123333334,-2.5096820046666664,2013-11-01
山西,晋中市,51.91749368333333,97.72110253333334,65.11566413333334,30.405713916666667,1.9223002333333334,30.568145333333334,275.45178599999997,39.0240552,88950.8258,4.249059528766667,-1.6926496804666666,2013-11-01
山西,晋城市,61.42738763333333,99.6669191,42.8058955,34.45566203333333,2.1943386366666666,31.2868737,277.57209066666667,40.3429025,90940.25263333334,2.922500513666667,-3.2801907983333334,2013-11-01
山西,朔州市,38.23655743333334,67.32223253333333,34.61374223333333,24.735301516666667,1.7023855366666667,34.20889056666667,271.8194736666667,46.13799483333333,86989.08233333334,5.269852568,-1.950913828,2013-11-01
山西,运城县,73.33356043333333,127.7668449,57.13090833333333,37.10451523333334,1.87282868,26.419483066666665,280.1924256666667,40.9823893,94829.4339,1.4646364793333333,-1.6011257083333335,2013-11-01
山西,长治市,56.051852233333335,101.6640924,40.15587453333333,35.326294233333336,2.2615799233333336,32.04888736666667,276.2080723333333,39.0733505,89206.55513333334,3.721798747333333,-2.2324786989666667,2013-11-01
山西,阳泉市,45.546325876666664,89.70689393333333,73.0433593,32.41599076666667,1.3311721366666667,32.09206656666667,276.1676526666667,36.4033189,90731.38783333333,5.9625549803333335,-2.633339827,2013-11-01
廣東|广东,东莞市,50.793264199999996,74.15830493333333,15.727349866666666,41.195383,1.0329700156666666,53.47054023333333,293.2504593333333,58.86790583333333,101557.11593333333,-5.04582379,-5.021467283333333,2013-11-01
廣東|广东,中山市,52.76503826666667,81.93434746666667,19.726516066666665,48.41725266666666,1.026208348,47.0572253,293.7774393333333,63.234760800000004,101571.509,-4.826595673333333,-5.606411856666667,2013-11-01
廣東|广东,云浮市,58.805004733333334,81.5212009,21.636373183333333,28.1305012,0.945178034,54.4964126,291.22796766666664,64.56468893333333,99569.11286666666,-4.384373694333333,-3.8608285566666667,2013-11-01
廣東|广东,佛山市,61.124229766666666,96.031515,29.74525913333333,53.815756566666664,1.1580845786666667,42.4231327,292.680153,58.34407733333333,101638.70143333334,-3.6686314853333335,-5.610486402333334,2013-11-01
廣東|广东,广州市,50.68388,72.16335869999999,18.559070133333332,37.564665399999996,1.017889756,52.73024853333333,292.4497723333333,58.298307900000005,100757.78353333334,-4.385541513333333,-5.298189478333333,2013-11-01
